Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
209,1,5,190,16,7,,48,1,0,1,48,2
206,0,5,189,19,9,,3,34,1,46,15,1
205,1,8,191,17,6,,48,2,0,1,47,2
209,1,3,192,18,5,,3,48,46,0,0,1
0,3,209,186,21,9,,47,0,0,2,49,2
222,0,1,195,7,3,,45,48,3,1,1,0
191,0,34,195,6,3,,20,47,29,1,0,1
218,194,1,0,9,4,,6,48,42,1,1,0
213,2,10,193,7,3,,43,4,5,44,1,1
217,191,0,0,13,7,,46,47,2,0,1,2
0,2,205,185,25,11,,47,7,1,41,1,1
0,2,210,190,20,6,,5,46,43,2,1,1
220,3,1,31,10,163,,48,13,0,35,1,1
213,174,0,0,17,24,,48,10,0,38,1,1
213,139,0,49,17,10,,0,0,48,47,1,2
210,190,0,0,20,8,,40,2,8,46,1,1
212,191,0,0,18,7,,1,40,47,8,1,1
206,190,0,0,24,8,,40,1,8,47,1,1
205,178,0,0,25,20,,29,0,18,48,2,1
205,179,0,0,25,19,,38,11,9,37,2,1
205,184,0,0,25,14,,40,47,7,0,2,2
209,170,0,0,21,28,,9,47,39,1,1,1
210,170,0,0,20,28,,43,45,5,0,1,4
210,170,0,0,20,28,,44,5,4,43,1,1
205,21,15,168,10,8,,37,2,11,46,1,1
212,0,7,191,11,7,,27,0,21,48,1,1
218,0,0,190,12,8,,48,1,1,47,0,1
225,190,0,0,9,9,,23,5,1,26,44,1
223,114,0,77,11,8,,3,19,1,46,30,1
218,0,3,192,9,6,,47,1,1,47,1,1
223,1,1,185,6,12,,46,1,2,47,1,1
205,12,15,170,10,15,,39,2,9,46,1,1
214,0,7,182,9,16,,21,47,27,0,1,2
220,0,1,187,9,11,,44,2,4,46,1,1
222,0,1,190,7,8,,45,0,1,48,3,1
8,189,219,3,3,6,,24,47,22,1,3,1
219,17,8,174,4,7,,26,45,20,3,3,1
217,183,0,0,13,15,,2,47,43,1,1,0
219,181,0,0,11,17,,47,45,1,0,1,4
223,181,0,0,7,17,,47,46,0,0,2,3
207,171,0,0,23,27,,47,10,0,35,2,4
207,170,0,0,23,28,,7,36,38,1,4,12
206,169,0,0,24,29,,40,1,5,37,4,11
218,189,0,4,12,5,,37,38,2,0,10,11
219,190,0,1,11,6,,35,38,5,0,9,11
214,190,0,1,12,7,,41,49,6,0,2,0
211,4,8,184,11,9,,14,1,33,44,2,4
210,5,9,186,11,7,,42,44,5,3,2,2
204,5,14,184,12,9,,35,47,12,0,2,2
215,189,0,0,15,9,,28,2,19,42,2,5
220,192,0,0,10,6,,19,0,28,46,2,3
219,4,2,184,9,9,,27,0,18,47,4,2
15,181,209,12,6,5,,21,1,25,46,3,2
221,47,3,145,7,6,,42,47,4,0,3,2
210,192,0,0,20,6,,43,44,0,0,6,5
217,0,5,188,8,9,,47,44,1,0,1,5
222,0,0,190,8,8,,32,44,15,3,2,2
3,150,221,39,10,10,,20,42,25,3,4,4
224,28,0,161,10,10,,43,6,2,39,4,4
219,2,4,187,7,8,,43,45,2,0,4,4
205,176,0,0,25,22,,43,44,2,0,4,5
207,175,0,0,23,23,,46,46,0,0,3,3
206,176,0,0,24,22,,6,48,41,1,2,0
1,19,202,162,27,17,,40,1,7,47,2,1
0,6,208,179,22,13,,46,48,1,0,2,1
2,3,205,183,23,12,,46,47,0,0,3,2
0,4,213,183,17,11,,44,42,0,0,5,7
216,189,0,0,14,9,,3,44,41,1,5,4
217,1,4,188,10,8,,43,45,1,0,5,4
220,5,3,185,9,8,,12,7,34,38,3,4
213,183,0,0,12,9,,11,16,35,29,3,4
213,187,0,0,18,11,,8,15,38,29,3,5
14,163,185,11,32,23,,9,20,37,24,3,5
203,4,18,188,11,6,,26,42,21,5,2,2
196,33,23,159,9,6,,25,41,21,3,3,5
197,19,16,170,18,9,,41,1,6,48,2,0
3,2,198,177,30,19,,46,49,1,0,2,0
215,0,1,192,15,6,,45,45,2,4,2,0
0,14,208,176,23,8,,18,49,29,0,2,0
1,2,206,176,24,20,,6,47,42,0,1,2
219,0,0,193,12,5,,27,45,20,1,2,3
222,0,3,193,6,5,,17,43,30,4,2,2
223,0,1,194,7,4,,35,44,13,2,1,3
224,53,0,140,7,5,,44,0,2,47,3,2
209,2,12,192,10,4,,8,45,38,2,3,2
221,190,0,0,10,8,,33,1,13,46,3,2
223,188,0,4,8,6,,41,3,5,44,3,2
221,1,3,189,7,8,,43,4,3,43,3,2
207,15,15,168,9,14,,48,46,0,0,1,3
126,0,100,192,9,7,,25,48,22,0,2,1
98,0,131,191,6,8,,6,28,41,20,2,1
NA,NA,NA,NA,NA,NA,,46,23,1,24,2,2
4,153,225,38,7,8,,35,45,11,2,1,0
212,0,16,191,5,7,,32,40,13,1,4,8
219,187,0,0,13,11,,2,44,44,1,2,0
216,1,8,182,8,15,,0,25,28,0,21,24
221,0,3,185,8,13,,34,41,13,2,2,6
213,0,12,185,7,13,,7,39,32,4,10,6
183,19,10,138,39,40,,6,43,41,2,2,4
196,112,0,60,36,26,,3,45,44,0,2,4
194,176,2,0,36,22,,47,45,0,0,2,4
195,176,0,0,37,22,,9,43,38,1,2,5
223,193,0,0,9,5,,5,45,43,1,1,3
223,191,0,0,9,7,,35,43,12,2,2,4
223,190,0,0,9,8,,11,0,32,44,0,1
213,19,8,169,11,9,,21,0,23,45,5,4
215,0,9,190,8,8,,11,0,30,39,2,3
220,1,1,191,11,6,,35,46,9,0,5,3
231,184,0,10,5,5,,15,46,32,0,2,3
4,171,225,23,3,4,,32,45,16,0,1,4
230,78,0,116,3,4,,48,31,0,14,1,4
13,192,209,0,10,6,,48,47,0,0,1,2
222,190,0,0,10,8,,9,47,39,1,1,1
211,182,0,0,21,16,,28,47,20,1,1,1
210,180,0,1,22,17,,42,48,6,0,1,1
212,180,0,1,20,17,,30,44,10,0,9,5
220,0,3,187,9,11,,0,31,48,17,1,1
219,1,1,187,12,10,,1,35,47,13,1,1
224,189,0,1,9,8,,1,40,47,8,1,1
227,187,0,0,9,12,,48,23,0,25,1,1
5,170,223,23,8,6,,47,21,0,27,2,1
3,169,222,23,11,7,,18,49,30,0,1,0
144,189,86,3,6,7,,36,46,12,0,1,3
224,192,5,0,7,7,,48,45,0,2,1,2
37,177,193,14,6,8,,48,46,0,1,1,2
19,189,209,3,4,6,,22,39,5,0,22,10
228,50,0,140,4,8,,24,39,3,0,22,10
210,190,11,0,11,8,,22,46,24,0,3,3
213,184,0,0,19,14,,16,0,31,47,2,2
214,187,0,0,18,11,,21,47,26,0,2,2
215,13,7,175,10,9,,32,0,15,46,2,3
223,1,3,189,7,8,,40,4,7,42,2,3
221,185,2,1,10,12,,28,0,19,46,2,3
218,6,10,185,5,7,,29,2,18,44,2,3
104,159,103,14,29,26,,31,47,16,0,2,2
204,176,0,0,29,22,,46,46,0,0,3,3
201,176,0,0,32,22,,2,46,42,1,5,2
202,174,0,1,31,23,,31,47,13,0,5,2
220,0,5,191,8,7,,27,43,13,0,9,6
222,0,3,192,8,6,,5,43,34,1,10,5
223,16,2,176,8,6,,39,46,3,0,7,3
21,189,207,3,6,6,,3,47,40,0,6,2
224,14,2,177,7,7,,4,47,43,0,2,2
223,190,0,0,10,8,,5,44,42,1,2,4
217,0,5,191,11,7,,5,44,42,1,2,4
219,1,1,189,13,8,,42,45,3,0,4,4
218,0,5,193,10,5,,36,45,8,0,1,0
222,1,1,191,10,6,,5,44,38,1,6,4
229,195,0,0,8,4,,1,45,40,0,8,4
186,196,41,0,8,3,,41,40,0,0,8,9
97,194,129,1,6,3,,37,2,11,44,1,3
216,69,6,126,12,3,,46,46,2,0,1,3
214,181,1,0,22,18,,15,44,31,1,3,4
215,1,3,190,19,8,,43,44,5,2,1,3
219,191,0,0,14,7,,45,46,2,0,2,3
224,189,0,0,13,10,,5,46,42,0,2,3
222,161,0,27,11,10,,45,38,2,8,2,3
208,179,0,0,25,19,,47,44,0,2,2,3
207,161,0,17,26,20,,6,44,40,2,3,3
206,176,0,0,27,22,,38,43,10,2,1,4
7,50,215,130,11,18,,36,40,11,1,1,0
221,128,0,62,12,8,,28,39,17,0,4,10
225,192,0,0,9,6,,25,47,24,0,0,2
222,0,2,192,9,6,,49,36,0,12,0,1
221,0,0,190,12,8,,34,39,15,9,0,1
223,132,0,48,14,19,,34,39,15,9,0,1
222,183,0,0,15,16,,41,46,6,0,2,2
222,184,0,0,12,15,,10,40,31,4,8,4
9,186,215,0,9,12,,,,,,,
219,149,5,38,9,11,,,,,,,
219,1,2,185,12,12,,,,,,,
218,5,2,181,13,12,,,,,,,
226,182,0,1,11,16,,,,,,,
224,184,0,0,13,15,,,,,,,
22,173,198,10,13,15,,,,,,,
220,175,0,7,13,16,,,,,,,
216,186,0,2,17,10,,,,,,,
222,186,0,1,11,11,,,,,,,
221,70,0,117,12,11,,,,,,,
226,0,1,193,6,5,,,,,,,
222,0,1,192,10,6,,,,,,,
220,138,0,51,8,3,,,,,,,
225,187,0,0,12,12,,,,,,,
3,175,226,11,8,12,,,,,,,
3,184,222,3,8,11,,,,,,,
225,22,0,165,8,11,,,,,,,
226,188,0,1,7,9,,,,,,,
226,0,1,189,6,9,,,,,,,
226,2,1,188,6,8,,,,,,,
224,188,0,0,9,10,,,,,,,
53,104,173,86,7,8,,,,,,,
221,167,0,21,12,10,,,,,,,
201,167,0,0,32,31,,,,,,,
202,0,0,168,31,30,,,,,,,
202,169,0,0,31,29,,,,,,,
199,0,0,168,34,30,,,,,,,
193,6,4,164,36,28,,,,,,,
1,151,218,37,14,10,,,,,,,
205,15,12,170,16,12,,,,,,,
31,141,192,49,11,8,,,,,,,
201,2,0,176,33,20,,,,,,,
225,191,0,0,9,7,,,,,,,
226,0,0,190,8,8,,,,,,,
224,189,0,1,10,8,,,,,,,
225,0,0,190,9,8,,,,,,,
224,189,0,1,10,8,,,,,,,
223,2,0,186,11,10,,,,,,,
2,143,223,48,9,7,,,,,,,
221,187,0,0,13,11,,,,,,,
223,0,0,189,11,9,,,,,,,
101,39,124,150,9,9,,,,,,,
221,0,1,191,12,7,,,,,,,
2,147,210,41,22,10,,,,,,,
4,134,204,44,26,20,,,,,,,
2,147,203,33,29,18,,,,,,,
210,181,2,0,21,17,,,,,,,
215,0,0,182,19,16,,,,,,,
211,179,0,1,23,18,,,,,,,
216,0,0,180,18,18,,,,,,,
2,130,215,54,17,14,,,,,,,
215,14,11,173,8,11,,,,,,,
217,173,8,15,7,11,,,,,,,
218,0,6,185,10,14,,,,,,,
2,138,202,44,30,17,,,,,,,
3,141,204,46,27,12,,,,,,,
0,138,225,47,9,14,,,,,,,
223,189,0,0,11,10,,,,,,,
224,13,0,178,10,8,,,,,,,
3,143,226,50,5,6,,,,,,,
226,119,0,73,8,7,,,,,,,
224,1,2,188,8,10,,,,,,,
5,132,208,52,21,15,,,,,,,
1,137,211,52,22,10,,,,,,,
225,1,3,195,6,3,,,,,,,
224,1,0,192,10,6,,,,,,,
223,1,2,196,8,2,,,,,,,
227,0,0,196,7,3,,,,,,,
3,108,224,87,7,4,,,,,,,
3,140,223,49,8,10,,,,,,,
219,1,1,186,14,12,,,,,,,
222,4,0,186,12,9,,,,,,,
222,1,2,190,10,8,,,,,,,
211,1,0,183,23,15,,,,,,,
4,136,214,50,16,13,,,,,,,
2,182,223,8,13,10,,,,,,,
225,31,0,157,13,12,,,,,,,
231,194,0,0,7,6,,,,,,,
2,188,212,7,24,5,,,,,,,
230,5,0,182,8,7,,,,,,,
197,194,30,3,11,3,,,,,,,
14,196,215,1,5,2,,,,,,,
228,11,1,187,5,1,,,,,,,
224,186,4,7,6,6,,,,,,,
227,39,0,154,7,6,,,,,,,
227,95,0,94,7,10,,,,,,,
225,31,1,159,8,9,,,,,,,
24,104,195,79,15,16,,,,,,,
8,161,204,18,22,20,,,,,,,
224,186,0,1,10,12,,,,,,,
223,162,0,25,11,12,,,,,,,
222,185,0,0,12,14,,,,,,,
226,2,3,186,5,11,,,,,,,
227,5,3,185,4,9,,,,,,,
228,0,4,189,2,10,,,,,,,
232,189,0,0,2,10,,,,,,,
228,187,0,0,6,12,,,,,,,
9,184,224,6,2,9,,,,,,,
218,100,15,91,2,8,,,,,,,
226,187,0,0,8,12,,,,,,,
218,7,8,179,8,13,,,,,,,
214,0,14,189,7,10,,,,,,,
225,119,0,69,9,11,,,,,,,
222,183,0,0,12,16,,,,,,,
14,171,212,17,8,11,,,,,,,
226,188,0,0,8,11,,,,,,,
224,0,4,191,6,8,,,,,,,
221,0,8,192,5,7,,,,,,,
226,189,0,0,8,10,,,,,,,
225,187,0,1,9,11,,,,,,,
216,187,8,0,10,12,,,,,,,
85,56,147,2,3,9,,,,,,,
219,8,13,183,3,8,,,,,,,
224,32,7,159,4,8,,,,,,,
219,184,0,0,15,15,,,,,,,
221,103,2,82,12,14,,,,,,,
222,180,0,3,13,16,,,,,,,
220,19,8,167,7,13,,,,,,,
227,67,1,118,7,14,,,,,,,
228,146,0,39,7,14,,,,,,,
226,176,0,9,9,14,,,,,,,
222,1,2,188,11,10,,,,,,,
223,0,1,193,11,6,,,,,,,
226,9,1,185,8,5,,,,,,,
221,8,3,183,11,8,,,,,,,
220,0,7,192,9,7,,,,,,,
7,194,220,0,8,5,,,,,,,
228,35,1,159,7,5,,,,,,,
228,76,0,118,7,5,,,,,,,
216,100,14,94,6,5,,,,,,,
225,187,0,0,10,12,,,,,,,
222,195,0,0,13,4,,,,,,,
225,191,0,0,10,8,,,,,,,
226,2,1,191,8,6,,,,,,,
223,0,4,193,8,6,,,,,,,
220,0,0,188,10,6,,,,,,,
216,90,12,98,8,11,,,,,,,
214,187,9,1,10,11,,,,,,,
0,128,227,60,12,12,,,,,,,
12,174,215,14,12,12,,,,,,,
117,5,111,181,11,14,,,,,,,
1,144,227,44,11,12,,,,,,,
221,13,7,176,11,11,,,,,,,
225,20,1,167,13,13,,,,,,,
223,17,1,167,15,16,,,,,,,
203,15,23,169,13,16,,,,,,,
217,3,8,181,14,16,,,,,,,
2,184,222,1,11,14,,,,,,,
203,181,20,3,12,15,,,,,,,
211,183,0,0,24,16,,,,,,,
187,175,0,0,47,24,,,,,,,
188,175,0,0,46,24,,,,,,,
189,175,0,0,45,24,,,,,,,
221,0,3,193,10,6,,,,,,,
222,1,1,192,11,6,,,,,,,
224,169,0,24,10,6,,,,,,,
223,182,0,10,11,7,,,,,,,
219,41,1,150,18,9,,,,,,,
206,191,15,2,17,7,,,,,,,
222,187,0,5,16,8,,,,,,,
226,40,0,153,12,7,,,,,,,
0,187,225,5,9,7,,,,,,,
223,27,0,164,11,8,,,,,,,
221,0,2,192,11,7,,,,,,,
225,0,0,195,9,4,,,,,,,
214,0,14,196,7,3,,,,,,,
223,184,0,6,11,9,,,,,,,
6,172,218,14,10,13,,,,,,,
2,179,220,3,12,17,,,,,,,
225,96,0,86,10,17,,,,,,,
202,16,19,174,12,9,,,,,,,
202,177,0,0,32,22,,,,,,,
199,174,0,0,35,25,,,,,,,
201,174,0,0,33,25,,,,,,,
222,5,2,183,10,11,,,,,,,
222,5,1,186,11,8,,,,,,,
203,108,22,84,9,7,,,,,,,
226,188,0,0,8,11,,,,,,,
221,190,0,0,13,8,,,,,,,
225,192,0,0,9,7,,,,,,,
3,147,228,47,7,6,,,,,,,
228,67,1,126,5,6,,,,,,,
7,187,222,8,5,4,,,,,,,
224,87,0,104,10,8,,,,,,,
227,24,0,166,7,9,,,,,,,
215,191,0,0,19,8,,,,,,,
230,49,0,144,5,6,,,,,,,
226,178,0,6,8,9,,,,,,,
217,9,3,180,14,10,,,,,,,
221,0,1,187,12,12,,,,,,,
218,7,2,184,14,8,,,,,,,
224,3,2,190,8,6,,,,,,,
225,191,0,0,9,8,,,,,,,
216,1,1,184,17,14,,,,,,,
3,167,224,19,8,13,,,,,,,
225,49,0,137,10,13,,,,,,,
222,184,0,0,12,15,,,,,,,
220,82,0,96,14,21,,,,,,,
219,177,0,0,15,22,,,,,,,
219,176,0,0,15,23,,,,,,,
218,99,13,96,4,4,,,,,,,
232,197,1,0,5,3,,,,,,,
232,191,0,3,6,6,,,,,,,
5,191,223,2,6,6,,,,,,,
228,181,0,15,6,3,,,,,,,
223,191,0,0,11,8,,,,,,,
222,0,2,195,10,4,,,,,,,
228,2,1,193,5,4,,,,,,,
230,71,0,124,4,4,,,,,,,
229,193,0,0,5,6,,,,,,,
12,194,219,1,4,4,,,,,,,
228,50,1,145,6,4,,,,,,,
192,150,40,43,3,6,,,,,,,
228,184,0,1,7,14,,,,,,,
80,188,151,4,5,7,,,,,,,
230,186,3,9,3,4,,,,,,,
222,193,0,0,13,6,,,,,,,
212,18,11,157,12,24,,,,,,,
219,1,2,177,14,21,,,,,,,
223,0,2,183,10,16,,,,,,,
105,188,128,1,3,10,,,,,,,
184,164,0,0,51,35,,,,,,,
186,167,0,0,49,32,,,,,,,
191,163,0,0,44,36,,,,,,,
5,82,200,99,30,18,,,,,,,
3,72,197,112,35,15,,,,,,,
226,129,0,59,9,11,,,,,,,
229,193,0,0,10,7,,,,,,,
222,3,6,191,7,5,,,,,,,
214,25,13,168,8,4,,,,,,,
226,196,0,0,9,3,,,,,,,
225,51,1,145,10,3,,,,,,,
223,3,3,191,9,5,,,,,,,
203,4,20,184,12,11,,,,,,,
224,1,2,192,9,6,,,,,,,
224,0,1,192,10,7,,,,,,,
220,1,3,191,12,7,,,,,,,
5,194,221,1,9,4,,,,,,,
223,10,6,183,6,6,,,,,,,
224,182,0,11,11,6,,,,,,,
225,1,0,189,10,9,,,,,,,
96,25,131,167,8,7,,,,,,,
229,89,0,103,6,7,,,,,,,
228,174,0,17,7,8,,,,,,,
226,189,0,0,9,10,,,,,,,
226,2,4,194,5,3,,,,,,,
229,1,1,195,5,3,,,,,,,
226,195,0,0,9,4,,,,,,,
230,191,0,0,9,9,,,,,,,
14,185,217,4,4,10,,,,,,,
231,91,0,98,4,10,,,,,,,
232,170,0,19,3,10,,,,,,,
212,11,19,176,4,12,,,,,,,
227,182,0,0,8,17,,,,,,,
215,145,0,23,20,31,,,,,,,
220,156,0,11,15,32,,,,,,,
219,149,0,18,16,32,,,,,,,
225,3,4,189,6,7,,,,,,,
229,0,1,192,5,7,,,,,,,
227,192,1,0,5,7,,,,,,,
230,56,0,137,5,6,,,,,,,
231,181,0,9,4,9,,,,,,,
229,190,0,0,6,9,,,,,,,
222,4,1,184,12,11,,,,,,,
224,0,0,182,11,17,,,,,,,
232,192,0,0,7,8,,,,,,,
17,185,206,5,12,9,,,,,,,
223,122,0,69,12,8,,,,,,,
208,177,14,12,13,10,,,,,,,
200,175,0,0,35,24,,,,,,,
202,176,0,0,33,23,,,,,,,
204,174,0,0,31,25,,,,,,,
231,192,0,0,4,7,,,,,,,
231,194,0,0,4,5,,,,,,,
230,153,0,41,6,5,,,,,,,
229,9,0,180,6,10,,,,,,,
228,20,0,170,7,9,,,,,,,
223,188,0,0,12,11,,,,,,,
226,0,1,191,8,8,,,,,,,
224,2,2,191,9,6,,,,,,,
223,0,4,194,8,5,,,,,,,
224,0,3,192,8,7,,,,,,,
218,196,9,1,5,3,,,,,,,
55,194,178,2,6,4,,,,,,,
230,196,1,1,8,3,,,,,,,
8,192,222,3,5,4,,,,,,,
1,188,232,3,6,9,,,,,,,
234,191,0,0,5,9,,,,,,,
233,188,0,0,6,12,,,,,,,
4,184,224,3,7,12,,,,,,,
231,11,0,175,5,13,,,,,,,
225,190,0,0,10,9,,,,,,,
226,2,2,186,7,11,,,,,,,
222,0,4,190,9,9,,,,,,,
218,26,11,162,7,11,,,,,,,
214,178,0,0,21,21,,,,,,,
214,171,0,1,21,27,,,,,,,
214,174,0,0,21,25,,,,,,,
1,19,226,174,8,6,,,,,,,
222,4,2,181,11,14,,,,,,,
223,0,6,195,6,4,,,,,,,
228,159,0,37,7,3,,,,,,,
227,45,3,149,6,5,,,,,,,
224,190,0,0,11,7,,,,,,,
227,15,0,179,8,5,,,,,,,
224,4,4,188,7,7,,,,,,,
226,2,1,192,8,5,,,,,,,
225,7,1,183,9,9,,,,,,,
226,0,2,188,7,11,,,,,,,
223,8,3,182,9,9,,,,,,,
231,37,0,157,5,5,,,,,,,
224,192,1,0,8,8,,,,,,,
0,151,231,37,4,6,,,,,,,
230,137,0,55,5,7,,,,,,,
228,75,1,114,7,10,,,,,,,
216,15,10,174,9,10,,,,,,,
222,182,0,0,13,17,,,,,,,
216,178,2,1,16,20,,,,,,,
219,175,0,0,16,24,,,,,,,
220,178,0,0,15,21,,,,,,,
213,0,17,195,6,4,,,,,,,
233,196,0,0,3,3,,,,,,,
229,190,0,1,6,8,,,,,,,
215,61,16,135,5,3,,,,,,,
228,193,0,0,7,6,,,,,,,
230,96,3,99,2,4,,,,,,,
231,193,0,1,4,5,,,,,,,
234,146,0,49,1,4,,,,,,,
223,0,9,194,3,5,,,,,,,
229,25,0,138,2,7,,,,,,,
227,5,4,187,4,7,,,,,,,
229,0,1,193,5,6,,,,,,,
232,11,0,181,3,7,,,,,,,
226,4,0,186,9,9,,,,,,,
0,188,238,2,1,10,,,,,,,
235,191,1,0,3,9,,,,,,,
207,190,29,0,3,10,,,,,,,
219,191,16,0,3,9,,,,,,,
1,188,232,4,2,7,,,,,,,
233,14,0,178,2,7,,,,,,,
224,183,1,1,6,15,,,,,,,
11,174,214,13,14,13,,,,,,,
143,186,84,2,12,12,,,,,,,
2,61,224,126,12,13,,,,,,,
0,143,231,44,8,13,,,,,,,
220,10,5,179,10,10,,,,,,,
229,180,0,4,6,15,,,,,,,
227,181,0,3,8,15,,,,,,,
229,186,0,0,6,13,,,,,,,
211,2,15,182,9,15,,,,,,,
196,180,0,0,38,19,,,,,,,
196,179,0,1,38,19,,,,,,,
194,177,0,0,40,22,,,,,,,
214,190,0,1,17,7,,,,,,,
218,193,0,0,16,6,,,,,,,
217,192,0,1,17,6,,,,,,,
216,179,0,15,18,5,,,,,,,
211,192,0,0,23,7,,,,,,,
215,180,3,15,16,4,,,,,,,
219,5,4,185,11,9,,,,,,,
222,1,1,189,11,9,,,,,,,
226,191,0,0,8,8,,,,,,,
225,193,0,0,9,6,,,,,,,
220,1,5,188,13,11,,,,,,,
225,193,0,0,13,7,,,,,,,
220,8,2,185,12,6,,,,,,,
222,77,0,118,12,4,,,,,,,
203,176,2,10,29,13,,,,,,,
215,0,7,183,12,15,,,,,,,
222,180,0,0,12,19,,,,,,,
224,152,0,29,10,18,,,,,,,
208,0,13,177,13,22,,,,,,,
204,170,0,0,30,29,,,,,,,
205,169,0,0,29,30,,,,,,,
203,165,0,4,31,30,,,,,,,
0,11,223,170,11,18,,,,,,,
228,2,1,179,5,18,,,,,,,
1,8,221,165,12,26,,,,,,,
230,8,2,183,2,8,,,,,,,
229,0,4,190,1,9,,,,,,,
231,10,2,181,1,8,,,,,,,
13,178,216,10,6,11,,,,,,,
221,15,13,176,1,8,,,,,,,
82,178,151,9,4,13,,,,,,,
85,181,145,7,3,11,,,,,,,
223,188,0,0,11,11,,,,,,,
224,188,0,0,10,11,,,,,,,
223,187,0,0,11,12,,,,,,,
221,3,3,184,10,12,,,,,,,
218,0,4,186,12,13,,,,,,,
7,189,221,0,6,10,,,,,,,
214,69,14,119,6,11,,,,,,,
221,5,0,176,8,12,,,,,,,
224,3,3,185,7,11,,,,,,,
219,2,1,181,14,16,,,,,,,
225,158,1,22,12,20,,,,,,,
0,172,222,8,12,19,,,,,,,
225,68,1,108,8,23,,,,,,,
220,151,0,20,14,28,,,,,,,
208,94,0,72,26,33,,,,,,,
208,105,0,59,26,35,,,,,,,
208,142,0,23,26,34,,,,,,,
218,3,3,189,13,7,,,,,,,
220,0,2,192,12,7,,,,,,,
205,185,19,6,10,8,,,,,,,
9,189,219,0,6,10,,,,,,,
228,84,1,111,5,4,,,,,,,
220,172,1,22,13,5,,,,,,,
233,143,0,47,1,9,,,,,,,
226,161,0,28,8,10,,,,,,,
227,138,0,51,7,10,,,,,,,
220,22,1,167,13,10,,,,,,,
227,4,5,193,2,2,,,,,,,
228,0,5,197,1,2,,,,,,,
200,192,34,5,0,2,,,,,,,
224,146,7,51,3,1,,,,,,,
225,193,0,2,9,4,,,,,,,
200,193,30,0,4,6,,,,,,,
226,193,4,0,4,6,,,,,,,
229,189,0,2,5,8,,,,,,,
223,4,7,191,4,4,,,,,,,
222,0,5,193,7,6,,,,,,,
231,190,0,2,3,7,,,,,,,
223,0,6,194,5,5,,,,,,,
225,189,0,1,9,9,,,,,,,
229,189,0,4,5,6,,,,,,,
230,190,0,1,4,8,,,,,,,
225,189,0,0,9,10,,,,,,,
206,0,5,181,23,18,,,,,,,
215,0,4,184,15,15,,,,,,,
221,183,0,2,13,14,,,,,,,
220,0,6,192,8,7,,,,,,,
227,30,1,165,6,4,,,,,,,
226,189,0,2,8,8,,,,,,,
221,4,3,189,10,6,,,,,,,
222,0,3,193,9,6,,,,,,,
219,184,0,6,15,9,,,,,,,
220,2,8,190,6,7,,,,,,,
216,0,11,192,7,7,,,,,,,
226,192,0,0,8,7,,,,,,,
218,0,11,193,5,6,,,,,,,
213,0,16,192,5,7,,,,,,,
