Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
231,41,15,129,11,6,,54,36,2,5,0,3
75,84,172,86,15,6,,26,35,27,5,3,4
240,0,2,169,20,7,,11,7,45,34,0,3
198,154,44,18,15,4,,32,35,24,4,0,5
156,113,83,57,18,6,,25,6,31,31,0,7
198,163,41,8,18,5,,42,32,13,2,1,10
161,136,80,35,16,5,,56,44,0,0,0,0
13,167,231,3,13,6,,38,19,18,25,0,0
227,35,18,135,12,6,,48,42,8,2,0,0
223,123,18,49,16,4,,36,4,20,40,0,0
238,172,10,1,14,3,,23,40,33,4,0,0
153,61,104,112,5,3,,48,18,8,25,0,1
10,90,242,81,10,5,,30,33,24,10,2,1
9,87,242,86,11,3,,51,41,5,2,0,1
17,118,236,50,9,8,,21,38,35,5,0,1
190,76,65,97,7,3,,39,42,16,1,1,1
220,112,36,62,6,2,,4,11,51,32,1,1
171,108,85,65,6,3,,43,14,11,28,2,2
195,76,53,93,9,7,,50,15,4,26,2,3
220,108,31,60,6,8,,8,4,47,36,1,3
172,107,79,62,6,7,,23,36,32,8,1,0
248,101,4,69,5,6,,24,34,31,10,1,0
183,23,9,123,65,30,,25,30,28,11,3,3
NA,NA,NA,NA,NA,NA,,21,32,35,12,0,0
22,132,205,31,35,13,,17,6,39,38,0,0
56,146,176,17,30,13,,44,1,12,43,0,0
71,131,171,35,20,10,,18,13,37,31,1,0
61,159,184,9,17,8,,11,37,45,6,0,1
53,161,193,5,16,10,,54,19,2,25,0,0
140,55,108,112,14,9,,53,38,3,6,0,0
105,162,143,5,14,9,,49,43,4,0,3,1
20,156,226,13,16,7,,53,44,1,0,2,0
30,140,214,29,13,7,,43,12,12,32,1,0
36,162,207,6,14,8,,42,22,13,22,1,0
51,165,199,4,7,7,,55,44,0,0,1,0
87,164,166,4,4,8,,52,36,3,7,1,1
216,162,36,7,5,7,,15,26,41,15,0,2
20,158,230,13,7,5,,53,7,2,37,1,0
236,76,16,94,5,6,,34,6,21,38,1,0
14,74,244,98,4,4,,55,40,0,3,1,1
12,133,248,39,2,4,,4,21,51,21,1,2
32,85,227,86,3,5,,53,44,0,0,3,0
28,150,229,21,5,5,,51,43,3,1,2,0
152,139,106,31,4,6,,52,30,3,14,1,0
209,120,50,51,3,5,,26,31,29,13,1,0
216,120,39,51,7,5,,52,36,3,8,1,0
248,157,11,14,3,5,,16,37,39,6,1,1
152,146,102,25,3,5,,16,25,39,19,1,0
243,159,12,12,2,5,,49,32,6,12,1,0
20,152,235,19,2,5,,51,38,4,6,1,0
239,64,13,106,5,6,,45,7,5,34,6,3
NA,NA,NA,NA,NA,NA,,16,19,39,24,1,1
1,55,255,117,0,1,,39,11,17,32,0,1
32,163,220,9,0,1,,51,18,5,25,0,1
176,13,84,160,3,3,,54,36,2,7,0,1
98,157,161,16,4,3,,56,3,0,39,0,2
226,171,27,0,0,1,,55,10,0,34,1,0
99,157,154,16,5,3,,24,39,30,4,2,1
19,139,232,34,6,3,,39,13,16,31,1,0
237,67,18,106,2,3,,17,37,38,4,1,3
32,168,221,5,9,3,,25,39,30,5,1,0
94,157,162,14,6,5,,45,16,10,28,1,0
183,86,71,87,8,3,,52,24,3,20,1,0
95,158,152,14,10,4,,50,30,3,12,3,2
177,88,70,84,10,4,,54,40,1,4,1,0
200,12,50,161,7,3,,1,32,54,11,1,1
111,153,147,17,4,6,,55,41,0,2,1,1
249,0,2,170,6,6,,42,38,14,6,0,0
242,0,4,166,11,10,,56,43,0,1,0,0
241,38,6,132,10,6,,0,19,56,25,0,0
235,3,0,159,22,14,,55,43,1,1,0,0
89,75,166,95,7,6,,53,37,3,7,0,0
18,98,239,75,5,3,,53,14,3,27,0,3
245,149,13,24,4,3,,28,39,28,2,0,3
15,90,238,83,9,3,,51,2,5,36,0,6
13,171,237,0,7,5,,10,40,43,1,3,1
234,0,13,170,10,6,,51,8,3,35,2,1
245,169,0,0,12,7,,48,3,5,40,3,1
78,162,173,10,11,4,,18,23,37,21,1,0
146,129,104,40,12,7,,54,43,2,1,0,0
123,68,124,105,15,3,,53,12,2,32,1,0
32,161,218,11,12,4,,54,35,2,9,0,0
16,158,231,14,15,4,,53,8,3,36,0,0
241,1,7,170,14,5,,26,10,29,32,1,2
230,149,15,22,12,5,,13,39,42,1,1,4
143,134,100,37,14,5,,18,40,37,2,1,2
81,163,164,9,12,4,,9,37,46,5,1,2
227,50,17,121,13,5,,2,38,53,3,1,3
6,116,244,55,12,5,,51,3,5,39,0,2
132,25,115,148,15,3,,41,41,13,1,2,2
135,162,117,12,5,2,,52,24,2,18,2,2
11,59,241,114,5,3,,51,39,0,0,5,5
40,143,212,29,5,4,,53,40,0,0,3,4
5,107,247,67,5,2,,54,43,0,1,2,0
244,82,6,92,7,2,,55,44,0,0,1,0
41,63,210,108,6,5,,1,22,55,22,0,0
249,11,3,161,5,4,,55,39,1,5,0,0
9,147,246,23,7,6,,56,2,0,42,0,0
10,143,245,30,7,3,,56,44,0,0,0,0
20,164,236,10,6,2,,54,41,1,3,1,0
87,172,169,1,6,3,,53,41,3,1,0,2
229,20,5,146,3,0,,36,39,17,2,3,3
244,0,5,173,8,3,,29,35,25,4,2,5
204,0,45,171,9,5,,50,35,1,1,5,8
242,1,11,172,0,1,,34,30,17,6,5,8
241,0,13,173,0,1,,51,40,0,1,5,3
234,0,18,172,5,4,,19,33,33,8,4,3
219,13,3,153,35,10,,55,36,1,8,0,0
127,148,118,21,17,7,,22,38,33,5,1,1
32,157,215,10,15,9,,32,33,23,11,1,0
31,157,212,7,19,12,,24,34,32,10,0,0
210,4,21,148,26,24,,56,44,0,0,0,0
199,0,29,144,30,32,,52,41,3,3,1,0
227,98,1,60,29,18,,10,39,46,5,0,0
165,121,60,39,2,0,,9,40,47,4,0,0
241,20,5,148,11,8,,49,3,7,41,0,0
223,0,32,173,3,3,,52,36,2,7,2,1
29,172,225,0,3,4,,47,9,6,34,3,1
254,145,0,27,3,4,,5,31,50,13,1,0
236,20,6,152,15,4,,4,31,51,13,1,0
235,3,24,170,3,3,,6,32,49,12,1,0
189,168,66,3,7,5,,51,18,4,26,1,0
102,168,157,5,3,3,,51,14,4,30,1,0
28,152,231,21,3,3,,46,10,9,34,1,0
246,173,5,0,6,3,,30,1,25,43,1,0
215,170,36,1,6,5,,35,39,20,5,1,0
189,172,61,0,7,4,,6,20,49,24,1,0
248,26,5,147,4,3,,20,5,35,39,1,0
152,166,103,6,7,4,,51,26,4,18,1,0
245,170,6,0,6,6,,53,14,1,30,2,0
151,151,93,18,13,7,,51,17,3,26,2,1
158,167,93,5,6,4,,51,25,2,19,3,0
253,134,3,38,6,4,,53,42,2,2,1,0
