Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
1,159,217,23,18,20,,7,48,40,0,2,1
2,160,218,24,16,18,,47,48,0,0,2,1
0,184,221,1,11,16,,3,48,44,0,2,1
214,55,5,129,13,17,,40,0,7,47,2,2
217,173,0,0,14,28,,48,41,0,4,1,4
217,117,0,53,14,28,,48,44,0,0,1,5
217,169,0,0,14,32,,42,43,1,0,6,6
219,1,0,188,12,12,,49,43,0,3,0,3
219,0,0,187,12,14,,0,43,46,0,3,6
222,189,0,0,9,12,,0,40,36,0,13,9
221,189,0,0,10,12,,0,36,23,0,26,13
220,187,0,0,11,14,,4,47,45,1,0,1
218,190,4,0,9,11,,0,47,48,0,1,2
221,168,0,22,10,11,,24,47,24,0,1,2
228,26,0,165,7,11,,4,46,43,2,2,1
75,189,149,5,7,7,,34,1,13,47,2,1
225,172,0,20,6,9,,42,0,6,47,1,2
226,0,1,195,4,6,,48,1,0,46,1,2
228,197,0,1,3,3,,48,45,0,2,1,2
229,189,0,7,2,5,,42,0,6,46,1,3
229,191,0,3,2,7,,48,8,0,38,1,3
2,195,224,0,5,6,,8,43,40,4,1,2
229,151,0,45,2,5,,44,13,4,34,1,2
225,1,3,192,3,8,,0,46,48,0,1,3
216,2,13,195,2,3,,46,1,1,45,2,3
227,188,0,0,4,13,,45,9,2,37,2,3
6,180,221,17,8,5,,0,46,47,1,2,2
26,156,195,39,10,6,,46,2,1,45,2,2
195,82,24,113,12,6,,42,0,5,47,2,2
223,197,0,0,8,4,,0,46,47,1,2,2
223,122,0,73,8,5,,46,1,1,46,2,2
223,192,0,0,6,7,,29,47,18,0,2,2
225,1,1,193,5,7,,0,35,47,7,2,7
226,0,0,196,5,5,,46,45,0,0,3,4
224,2,0,189,7,10,,46,47,0,0,3,2
220,2,7,196,4,3,,45,46,1,0,3,3
0,165,227,27,8,10,,3,47,44,0,2,2
225,87,0,107,10,8,,44,43,1,0,4,6
226,146,0,50,9,6,,9,39,37,7,3,3
1,136,226,60,8,6,,3,46,43,0,3,3
1,160,227,35,7,7,,45,46,1,0,3,3
227,26,1,170,7,6,,41,46,4,0,4,3
226,3,2,193,7,6,,26,0,19,46,4,3
4,191,220,2,8,8,,37,46,8,0,4,3
223,142,0,48,8,11,,37,41,0,0,12,8
218,186,0,0,13,12,,37,0,10,47,2,2
3,163,222,28,10,11,,26,0,15,42,8,7
225,27,0,165,10,10,,38,4,9,42,2,3
22,173,203,19,10,10,,31,1,16,46,2,2
5,110,219,82,11,10,,4,47,43,0,2,2
6,120,220,72,9,10,,35,0,12,47,2,2
7,121,219,71,9,10,,1,33,46,14,2,2
220,12,6,180,9,10,,31,47,17,0,1,2
0,183,226,9,9,10,,34,47,14,0,1,2
224,175,0,17,7,9,,46,1,3,47,0,1
217,0,5,191,9,10,,37,2,12,46,0,1
213,0,9,190,9,11,,39,4,10,43,0,2
9,180,216,11,7,10,,42,0,7,48,0,1
212,25,14,166,6,10,,37,0,12,48,0,1
5,185,215,1,11,15,,36,1,13,47,0,1
221,164,0,23,10,14,,35,0,14,48,0,1
199,95,0,80,32,26,,44,5,5,43,0,1
196,174,0,1,35,26,,21,0,28,48,0,1
198,175,0,0,33,26,,48,1,1,47,0,1
223,5,1,185,7,11,,37,0,12,48,0,1
221,0,2,195,8,6,,17,48,32,0,0,1
212,0,12,195,7,6,,18,48,31,0,0,1
167,197,57,0,7,4,,49,45,0,0,0,4
222,66,2,131,7,4,,43,16,0,27,6,6
217,0,3,196,11,5,,0,42,43,1,6,6
222,0,1,196,8,5,,45,23,0,23,4,3
223,0,0,197,8,4,,21,43,24,1,4,5
220,194,0,3,11,4,,34,40,12,3,3,6
212,4,17,192,6,6,,2,43,45,0,2,6
4,32,226,164,5,6,,9,42,39,0,1,7
209,3,16,193,7,5,,47,43,1,0,1,6
66,198,160,0,5,3,,29,1,18,43,2,5
223,73,2,124,6,4,,44,4,3,40,2,5
227,196,0,0,8,6,,7,44,40,1,2,4
229,169,0,29,6,4,,39,1,8,44,2,4
227,144,2,53,6,5,,47,32,0,10,2,7
11,198,216,0,5,3,,46,44,1,0,2,5
222,187,2,11,7,3,,46,0,1,44,2,5
223,0,1,198,7,3,,28,5,19,39,2,5
226,0,0,198,5,3,,35,44,12,0,2,5
222,0,3,198,6,3,,34,43,12,0,3,6
218,1,5,194,8,6,,45,39,0,0,4,10
9,198,217,0,5,3,,46,43,0,0,3,6
13,197,216,2,3,2,,13,45,33,0,3,4
169,2,59,196,4,3,,35,45,12,2,2,2
4,194,216,0,11,7,,25,49,22,0,2,0
3,192,226,3,3,6,,27,1,20,48,2,0
219,2,10,195,3,4,,29,49,18,0,2,0
219,0,6,193,6,8,,9,45,37,0,3,4
4,180,221,12,6,9,,16,45,31,1,2,3
222,80,5,115,4,6,,40,46,7,0,2,3
3,182,218,12,14,8,,38,0,10,47,1,2
106,191,119,3,10,8,,48,46,0,0,1,3
222,23,5,173,8,6,,8,47,41,1,0,1
1,180,225,16,5,5,,6,49,42,0,1,0
220,5,6,191,5,5,,6,49,1,43,0,1
192,76,2,98,37,27,,48,6,1,1,43,1
195,174,0,0,36,27,,2,46,46,1,1,2
194,152,0,21,37,27,,49,22,0,24,0,3
225,191,0,0,6,10,,0,27,49,20,0,2
225,183,0,4,6,14,,3,44,43,3,3,2
224,117,1,72,6,12,,36,43,10,2,3,4
224,157,0,34,7,10,,26,47,22,1,1,1
222,189,2,1,7,11,,46,29,2,19,1,1
2,159,217,36,12,6,,9,49,39,0,1,0
224,1,2,196,5,4,,45,49,3,0,1,0
226,3,0,194,5,4,,18,49,30,0,1,0
0,157,218,27,13,17,,18,47,29,0,2,2
NA,NA,NA,NA,NA,NA,,27,25,20,21,2,3
0,177,211,8,24,17,,47,45,0,1,2,3
NA,NA,NA,NA,NA,NA,,23,3,24,43,2,3
1,183,218,4,16,15,,45,43,2,3,2,3
NA,NA,NA,NA,NA,NA,,4,45,44,0,1,4
1,185,208,5,25,12,,47,43,1,2,1,4
NA,NA,NA,NA,NA,NA,,43,9,4,36,2,4
1,177,213,4,21,21,,45,48,1,0,3,1
NA,NA,NA,NA,NA,NA,,0,27,46,21,3,1
4,184,212,9,19,9,,16,43,29,2,4,4
196,6,29,187,10,9,,42,41,3,0,4,8
129,7,100,188,6,7,,46,42,0,0,3,7
114,5,113,190,8,7,,46,43,0,0,3,6
124,3,105,194,6,5,,28,38,19,6,2,5
13,186,216,10,6,6,,18,42,29,2,2,5
15,186,211,8,9,8,,9,39,38,4,2,6
216,4,15,193,4,5,,6,44,41,1,2,4
187,12,44,185,4,5,,44,0,3,45,2,4
198,196,29,1,4,4,,28,45,19,0,2,4
202,195,25,2,4,4,,32,2,16,43,1,4
220,3,0,186,11,12,,44,44,3,0,2,5
224,0,1,192,6,9,,43,44,4,0,2,5
224,1,2,192,5,8,,35,44,12,0,2,5
214,0,13,196,5,5,,0,40,47,5,2,4
0,148,226,43,9,11,,23,43,25,0,1,6
0,164,226,27,9,11,,41,0,7,43,1,6
0,176,226,14,9,12,,46,0,2,43,1,6
134,20,93,170,8,12,,23,43,21,0,5,6
0,173,227,18,8,11,,43,43,3,0,3,6
0,92,225,97,10,13,,46,19,2,24,1,6
209,162,1,15,21,23,,24,42,24,2,1,5
210,175,0,0,21,26,,15,43,33,1,1,5
1,173,227,19,7,10,,47,43,0,0,2,6
46,189,181,7,8,6,,45,44,3,0,1,5
1,182,227,13,7,7,,46,44,2,0,1,5
15,148,213,47,7,7,,42,44,6,0,1,5
0,180,227,16,8,6,,40,0,8,44,1,5
34,183,193,12,8,7,,29,44,19,0,1,5
0,155,224,39,11,8,,49,12,0,34,0,3
1,163,226,30,8,9,,49,9,0,37,0,3
221,162,3,33,7,6,,12,38,36,8,1,3
2,180,218,14,11,7,,28,0,20,44,1,5
223,90,0,104,8,7,,27,0,20,43,2,6
226,80,0,114,5,7,,22,2,23,42,4,5
220,125,5,67,6,9,,33,44,13,0,3,5
226,186,0,8,5,7,,27,0,20,43,2,6
217,195,0,0,8,6,,25,43,22,0,2,6
225,192,0,0,6,9,,15,45,33,0,1,4
218,1,2,187,5,6,,17,46,30,0,2,3
228,0,1,197,2,4,,17,45,30,0,2,4
228,56,1,140,2,5,,0,45,46,0,3,4
227,195,0,0,4,5,,10,44,36,1,3,4
0,185,232,11,3,6,,34,43,12,2,3,4
0,183,230,13,5,6,,46,6,0,39,3,4
0,192,225,3,6,6,,41,44,0,0,8,5
224,44,0,150,7,7,,48,45,0,0,1,4
227,194,0,0,4,7,,44,0,3,49,2,0
226,193,0,0,5,8,,4,48,43,1,2,0
226,195,1,0,4,6,,4,49,42,0,3,0
227,194,0,0,4,7,,47,29,1,16,1,4
223,191,0,0,8,10,,0,44,47,1,2,4
224,0,0,195,7,6,,46,40,0,5,3,4
224,0,1,196,6,5,,5,46,39,3,5,0
221,0,4,195,6,6,,19,17,29,28,1,4
216,2,7,194,8,5,,36,1,12,44,1,4
33,195,192,0,6,6,,38,1,10,44,1,4
202,180,21,16,8,5,,19,0,29,44,1,5
136,16,91,180,8,5,,14,0,33,44,2,5
158,188,64,7,8,5,,41,0,7,44,1,5
210,186,15,7,6,7,,30,5,17,39,2,5
225,123,1,72,6,6,,17,38,31,11,1,0
86,194,140,2,6,5,,9,48,39,1,1,0
217,195,0,0,14,6,,13,33,35,12,1,4
217,193,0,0,14,8,,3,35,45,10,1,4
217,194,0,0,14,7,,5,25,43,20,1,4
201,186,6,4,14,6,,35,2,13,43,1,4
188,185,21,5,14,6,,40,44,7,1,2,4
220,0,0,195,11,6,,35,42,9,2,5,5
221,195,0,0,10,6,,47,44,1,0,1,5
221,187,0,8,10,6,,48,41,0,2,1,6
216,152,5,43,10,6,,37,40,11,3,1,6
222,197,1,0,12,5,,41,35,0,10,8,4
159,0,63,197,13,5,,1,41,48,3,0,5
152,193,68,3,11,5,,0,23,49,21,0,5
216,190,5,5,10,6,,6,43,43,1,0,5
190,14,31,182,10,5,,48,21,1,23,0,5
221,0,1,194,9,7,,2,44,46,0,1,5
213,11,9,182,9,8,,33,41,14,3,1,0
14,166,211,31,6,4,,47,44,0,0,2,5
210,37,16,160,6,4,,,,,,,
216,1,4,188,11,12,,,,,,,
211,3,7,186,13,12,,,,,,,
17,135,197,40,17,26,,,,,,,
198,58,13,115,20,28,,,,,,,
203,183,0,0,28,18,,,,,,,
203,183,1,0,27,18,,,,,,,
205,181,0,0,26,20,,,,,,,
222,0,0,194,9,7,,,,,,,
223,197,0,0,8,4,,,,,,,
182,62,45,129,8,11,,,,,,,
20,181,208,13,7,8,,,,,,,
25,193,204,1,6,8,,,,,,,
185,194,44,1,6,7,,,,,,,
187,194,41,0,7,8,,,,,,,
1,189,219,2,15,11,,,,,,,
2,187,215,3,18,12,,,,,,,
1,186,217,3,17,12,,,,,,,
1,187,216,0,18,15,,,,,,,
1,187,216,0,18,15,,,,,,,
0,187,213,0,22,15,,,,,,,
1,188,214,0,20,14,,,,,,,
130,182,82,0,22,20,,,,,,,
0,108,219,81,16,13,,,,,,,
28,188,193,5,14,9,,,,,,,
59,189,165,3,11,10,,,,,,,
98,188,123,4,14,10,,,,,,,
121,161,104,33,10,8,,,,,,,
61,180,165,14,9,8,,,,,,,
57,194,170,1,8,7,,,,,,,
80,159,147,36,8,7,,,,,,,
19,188,209,5,7,9,,,,,,,
4,92,224,103,7,7,,,,,,,
11,179,218,15,6,8,,,,,,,
24,168,205,27,6,7,,,,,,,
38,190,190,5,7,7,,,,,,,
40,115,188,80,7,7,,,,,,,
2,182,226,12,7,8,,,,,,,
0,168,229,26,6,8,,,,,,,
20,69,205,126,10,7,,,,,,,
220,159,9,36,6,7,,,,,,,
16,60,213,134,6,8,,,,,,,
49,185,180,9,6,8,,,,,,,
18,131,210,62,7,9,,,,,,,
8,115,219,79,8,8,,,,,,,
0,145,229,48,6,9,,,,,,,
1,177,227,16,7,9,,,,,,,
11,189,214,3,6,9,,,,,,,
223,45,2,148,6,8,,,,,,,
9,101,216,88,10,13,,,,,,,
54,14,172,175,9,13,,,,,,,
16,138,210,50,9,14,,,,,,,
88,176,139,13,8,13,,,,,,,
45,161,183,28,7,13,,,,,,,
210,173,18,16,7,13,,,,,,,
224,185,0,2,7,14,,,,,,,
205,181,0,0,26,20,,,,,,,
207,181,0,1,24,19,,,,,,,
207,182,0,0,24,19,,,,,,,
0,84,229,112,6,6,,,,,,,
1,75,229,122,5,5,,,,,,,
3,108,226,89,6,5,,,,,,,
1,76,229,121,5,5,,,,,,,
0,164,228,31,7,7,,,,,,,
1,120,229,76,5,6,,,,,,,
6,145,223,51,6,6,,,,,,,
1,106,229,91,5,5,,,,,,,
17,141,213,56,5,5,,,,,,,
14,109,216,87,5,6,,,,,,,
229,193,0,2,2,6,,,,,,,
217,194,1,1,4,4,,,,,,,
226,179,0,18,5,4,,,,,,,
229,122,0,73,2,6,,,,,,,
65,15,167,184,3,3,,,,,,,
4,130,227,66,4,6,,,,,,,
24,97,209,103,2,2,,,,,,,
6,127,225,73,4,2,,,,,,,
13,153,220,47,2,2,,,,,,,
138,8,94,191,2,3,,,,,,,
1,128,232,69,2,5,,,,,,,
6,151,227,47,2,4,,,,,,,
10,148,223,52,2,2,,,,,,,
1,137,232,63,2,2,,,,,,,
