Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
189,184,18,11,13,15,,48,40,0,0,2,9
194,177,0,0,26,33,,48,39,0,0,2,10
198,178,0,0,22,32,,48,39,0,0,2,10
199,179,0,0,21,31,,47,9,1,26,2,14
87,169,127,34,6,7,,49,45,0,2,1,2
40,6,176,197,4,7,,49,2,1,1,47,0
15,172,203,35,3,3,,50,49,1,0,0,0
22,156,196,51,3,3,,16,8,1,34,41,0
64,203,152,5,4,2,,49,48,1,0,0,1
215,209,0,0,5,1,,50,46,0,1,0,2
180,199,35,10,5,1,,36,21,14,27,0,1
151,141,63,64,6,5,,18,46,32,1,0,2
0,140,218,65,2,5,,41,27,9,21,0,1
0,150,218,54,2,6,,49,44,1,4,0,1
67,172,150,34,3,4,,49,47,0,0,1,2
40,160,178,47,2,3,,49,48,0,0,1,1
20,4,196,202,4,4,,49,48,0,0,1,1
0,187,216,20,4,3,,46,2,2,46,2,1
172,161,46,46,2,3,,46,28,1,18,3,3
56,33,151,172,0,1,,48,36,2,12,0,1
206,200,1,5,0,1,,19,14,25,33,6,2
210,4,0,199,10,7,,50,49,1,0,0,0
216,2,0,203,5,5,,49,48,0,0,1,1
188,38,26,168,7,4,,47,49,0,0,3,0
1,187,211,17,8,6,,50,46,0,0,0,3
75,32,135,173,10,5,,50,47,0,0,0,2
2,136,212,70,6,4,,50,46,0,0,0,3
3,57,210,147,7,6,,50,46,0,0,0,3
17,198,199,8,5,4,,50,45,0,1,0,3
1,122,214,84,5,4,,50,47,0,0,0,2
0,162,202,43,18,5,,31,21,1,19,28,0
17,179,186,25,17,6,,44,30,4,19,2,0
19,198,181,6,20,6,,47,49,0,0,3,0
5,176,190,22,25,12,,50,49,1,0,0,0
212,194,1,2,1,2,,50,48,0,0,0,1
211,198,1,3,1,0,,48,39,1,2,10,0
215,201,0,0,5,9,,49,48,0,0,1,1
30,69,186,136,4,5,,50,5,1,0,44,0
29,160,183,46,8,4,,46,7,0,4,42,1
6,204,210,1,4,5,,50,49,1,0,0,0
0,195,217,11,3,4,,50,49,1,0,0,0
202,132,15,73,3,5,,50,49,1,0,0,0
194,184,21,16,5,10,,49,49,0,0,1,0
189,167,17,27,1,0,,39,43,11,2,0,4
203,34,15,172,3,4,,45,44,5,2,0,3
217,202,0,0,3,8,,42,46,8,0,0,3
25,153,193,53,2,4,,49,46,1,0,0,3
19,156,199,49,2,5,,49,0,0,46,1,3
199,63,19,143,2,4,,48,46,1,2,1,1
183,198,31,2,6,10,,50,45,0,1,0,3
218,1,0,207,2,2,,49,0,1,46,0,1
217,1,0,205,3,4,,50,49,1,0,0,0
193,148,18,47,2,0,,50,49,1,0,0,0
217,62,1,146,2,2,,50,49,1,0,0,0
203,205,12,3,5,2,,49,49,0,0,1,0
36,123,181,86,3,1,,14,13,36,35,0,1
123,31,94,178,3,1,,47,48,2,0,1,1
44,80,172,126,4,4,,48,49,1,0,1,0
3,150,215,57,2,3,,40,4,10,40,0,5
199,40,18,167,3,3,,49,41,0,5,1,3
185,41,34,166,2,3,,0,46,0,50,3,1
34,171,185,36,2,3,,45,35,1,5,14,0
148,194,71,14,2,2,,1,39,49,9,0,1
1,204,217,4,3,2,,47,9,3,38,0,2
202,36,16,172,3,2,,49,46,1,1,0,2
190,138,17,59,1,0,,46,36,4,11,0,2
0,55,211,149,9,6,,40,43,0,0,10,6
0,56,207,146,13,8,,48,7,1,2,42,0
NA,NA,NA,NA,NA,NA,,48,40,1,9,1,0
218,2,0,204,2,4,,50,49,1,0,0,0
219,1,0,204,1,5,,49,48,0,0,1,1
0,55,210,143,10,12,,49,48,0,0,1,1
216,18,2,191,3,1,,47,5,1,3,44,0
213,3,6,206,2,1,,3,47,1,47,2,0
200,5,18,202,2,3,,49,23,1,25,0,1
3,204,215,3,3,3,,49,25,0,24,1,0
219,5,0,202,2,3,,50,49,1,0,0,0
208,191,1,0,9,19,,48,49,0,0,2,0
210,194,0,0,8,16,,44,42,2,5,4,2
207,200,1,0,9,10,,49,49,0,0,1,0
185,176,0,0,32,34,,1,0,0,49,49,1
185,179,0,0,32,31,,50,0,0,47,0,2
210,195,0,0,7,15,,50,0,0,47,0,2
209,201,0,0,8,9,,48,43,1,6,1,0
213,202,0,0,4,8,,49,48,0,1,1,0
214,205,0,0,4,5,,22,35,0,28,14,1
213,204,0,1,5,5,,47,47,0,0,3,2
207,198,0,0,10,12,,50,45,1,0,4,0
206,192,0,0,11,18,,0,1,46,47,4,1
208,93,0,106,9,11,,46,34,0,15,4,0
209,74,1,128,8,8,,49,47,1,1,0,1
0,173,207,30,10,7,,4,36,46,12,0,1
200,155,6,46,0,2,,0,27,50,21,0,1
193,188,0,0,24,22,,0,21,50,27,0,1
200,190,0,0,17,20,,49,30,0,19,1,0
213,21,3,179,1,10,,49,40,0,9,1,0
174,18,41,184,2,8,,47,25,2,24,1,0
13,159,201,40,3,11,,50,48,0,0,0,1
206,54,8,143,3,13,,49,0,1,47,0,2
137,188,76,11,0,1,,49,0,1,47,0,2
