Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
219,2,0,195,9,8,,48,2,0,1,1,0
216,197,2,3,10,5,,2,46,1,49,2,0
221,201,0,0,7,4,,1,46,1,50,2,0
0,201,222,1,6,3,,1,47,49,1,1,0
213,7,10,193,5,5,,2,35,0,49,13,1
218,199,0,0,10,6,,0,42,1,51,6,0
185,126,13,59,30,20,,0,47,1,51,1,0
219,0,0,202,9,3,,0,47,1,51,1,0
220,0,0,202,8,3,,48,3,0,3,45,1
222,0,0,201,7,4,,0,44,50,2,1,2
0,201,217,1,12,3,,1,40,49,5,1,3
218,4,3,199,8,2,,1,43,49,1,1,4
214,192,0,0,14,13,,0,43,50,1,1,4
215,193,0,0,13,12,,45,40,0,0,6,8
217,193,0,0,11,12,,39,45,10,0,2,3
218,0,0,200,10,5,,48,3,1,41,2,4
4,188,220,16,4,1,,50,9,1,36,0,3
4,197,221,5,3,3,,51,44,0,0,0,4
222,49,1,155,5,1,,50,6,1,39,0,3
220,0,0,204,8,1,,4,46,47,1,0,1
223,2,0,199,5,4,,49,1,1,46,1,1
198,178,2,0,28,27,,5,42,46,5,0,1
200,179,0,0,28,26,,51,47,0,0,0,1
205,180,0,0,23,25,,51,46,0,1,0,1
222,12,0,178,6,15,,51,47,0,0,0,1
225,193,0,0,3,12,,48,2,0,1,1,0
211,192,14,0,3,13,,0,46,51,1,0,1
11,172,214,25,3,8,,51,1,0,46,0,1
0,175,226,24,2,6,,49,1,2,46,0,1
214,42,12,157,2,6,,2,44,49,3,0,1
225,0,0,202,3,3,,51,1,0,45,0,2
223,1,0,199,5,5,,50,2,1,43,0,3
224,200,0,1,4,4,,19,16,31,28,1,4
224,201,0,0,4,4,,21,13,30,31,0,4
222,30,3,171,3,4,,20,22,29,23,2,3
208,42,19,159,1,4,,19,17,30,28,2,3
224,0,0,197,0,1,,12,14,37,31,2,3
222,0,1,197,0,2,,9,28,40,17,2,3
223,202,0,0,5,3,,31,35,18,11,2,2
224,203,0,0,4,2,,47,46,2,0,2,2
220,1,0,201,8,3,,46,41,0,1,5,6
218,0,0,201,10,4,,20,46,31,1,0,1
217,0,1,201,10,4,,50,48,1,1,0,0
216,0,0,200,12,5,,10,37,40,10,1,0
27,173,197,30,5,2,,50,45,0,0,1,3
8,190,213,13,7,2,,50,46,0,0,1,2
220,191,0,11,8,3,,50,46,0,0,1,2
219,83,2,120,7,2,,47,8,4,39,0,1
86,121,135,81,7,3,,51,1,0,46,0,1
0,203,223,1,5,1,,50,46,1,0,0,2
223,138,1,66,4,1,,10,34,41,12,0,2
1,203,222,0,5,2,,11,45,40,1,0,2
204,204,19,0,5,1,,40,4,11,41,0,3
221,0,0,204,8,1,,41,1,10,42,0,5
224,7,1,198,4,0,,51,43,0,0,0,5
213,0,2,192,14,13,,39,32,0,0,12,16
200,172,0,0,27,33,,0,37,51,6,0,5
200,171,0,0,27,34,,51,43,0,0,0,5
200,170,0,0,27,35,,0,39,51,4,0,5
214,10,4,183,9,12,,50,43,1,0,0,5
213,4,6,191,8,10,,46,43,0,0,5,5
45,189,174,5,8,11,,21,40,25,3,5,5
5,123,220,76,2,6,,49,3,0,42,2,3
214,86,11,113,2,6,,51,3,0,42,0,3
224,197,0,0,3,8,,51,14,0,31,0,3
222,58,0,137,5,10,,50,3,0,42,1,3
219,186,0,2,1,7,,50,42,0,3,1,3
220,189,0,0,0,7,,48,2,2,43,1,3
217,196,5,0,5,9,,1,40,48,5,2,3
18,115,206,80,4,10,,0,41,49,4,2,3
9,155,216,40,3,10,,0,41,50,4,1,3
220,62,5,133,3,10,,48,45,1,0,2,3
220,0,1,196,7,9,,0,26,49,19,2,3
220,0,0,193,8,12,,0,39,49,6,2,3
216,13,0,174,12,18,,0,39,48,7,3,2
216,188,0,0,12,17,,0,43,48,3,3,2
207,181,3,0,18,24,,48,2,3,44,0,2
201,173,4,0,23,32,,0,39,51,7,0,2
206,178,0,0,22,27,,50,46,1,0,0,2
201,177,3,0,24,28,,51,3,0,43,0,2
205,177,0,0,23,28,,22,46,29,0,0,2
222,0,0,195,6,10,,51,46,0,0,0,2
221,38,0,157,7,10,,51,5,0,41,0,2
51,134,173,64,4,7,,0,39,51,7,0,2
206,112,17,87,5,6,,50,20,0,26,1,2
218,121,1,78,10,6,,32,1,19,45,0,2
219,0,0,194,9,11,,5,42,46,4,0,2
218,151,0,43,10,11,,1,42,50,4,0,2
220,193,0,0,8,12,,0,42,49,4,2,2
214,193,9,1,5,11,,20,1,29,45,2,2
215,190,2,4,11,11,,3,35,47,11,1,2
225,200,0,0,3,5,,40,35,10,11,1,2
